bigram,category,value
stephen_colbert,ENVIRONMENT,0.0
north_korea,ENVIRONMENT,0.0
kim_kardashian,ENVIRONMENT,0.0
ted_cruz,ENVIRONMENT,0.0
need_know,ENVIRONMENT,0.0
fox_news,ENVIRONMENT,0.0
taylor_swift,ENVIRONMENT,0.0
valentin_day,ENVIRONMENT,0.0
mother_day,ENVIRONMENT,6.0
paul_ryan,ENVIRONMENT,0.0
social_medium,ENVIRONMENT,0.0
photo_poll,ENVIRONMENT,0.0
sexual_assault,ENVIRONMENT,0.0
joe_biden,ENVIRONMENT,0.0
michell_obama,ENVIRONMENT,0.0
jimmi_kimmel,ENVIRONMENT,0.0
game_throne,ENVIRONMENT,0.0
trump_administr,ENVIRONMENT,0.0
red_carpet,ENVIRONMENT,0.0
high_school,ENVIRONMENT,0.0
open_letter,ENVIRONMENT,0.0
istar_war,ENVIRONMENT,0.0
mental_health,ENVIRONMENT,0.0
jimmi_fallon,ENVIRONMENT,0.0
trump_say,ENVIRONMENT,0.0
box_offic,ENVIRONMENT,0.0
york_citi,ENVIRONMENT,4.0
kate_middleton,ENVIRONMENT,0.0
north_carolina,ENVIRONMENT,0.0
sexual_harass,ENVIRONMENT,0.0
kany_west,ENVIRONMENT,0.0
week_photo,ENVIRONMENT,10.0
plan_parenthood,ENVIRONMENT,0.0
trevor_noah,ENVIRONMENT,0.0
marco_rubio,ENVIRONMENT,0.0
mike_penni,ENVIRONMENT,0.0
donald_trump,EDUCATION,3.0
hillari_clinton,EDUCATION,0.0
new_york,EDUCATION,8.0
white_hous,EDUCATION,3.0
berni_sander,EDUCATION,0.0
suprem_court,EDUCATION,0.0
health_care,EDUCATION,0.0
climat_chang,EDUCATION,0.0
new_year,EDUCATION,0.0
look_like,EDUCATION,3.0
fashion_week,EDUCATION,0.0
studi_find,EDUCATION,0.0
super_bowl,EDUCATION,0.0
morn_email,EDUCATION,0.0
stephen_colbert,EDUCATION,0.0
north_korea,EDUCATION,0.0
kim_kardashian,EDUCATION,0.0
ted_cruz,EDUCATION,0.0
need_know,EDUCATION,3.0
fox_news,EDUCATION,0.0
taylor_swift,EDUCATION,0.0
valentin_day,EDUCATION,0.0
mother_day,EDUCATION,2.0
paul_ryan,EDUCATION,0.0
social_medium,EDUCATION,0.0
photo_poll,EDUCATION,0.0
sexual_assault,EDUCATION,4.0
joe_biden,EDUCATION,0.0
michell_obama,EDUCATION,0.0
jimmi_kimmel,EDUCATION,0.0
game_throne,EDUCATION,0.0
trump_administr,EDUCATION,2.0
red_carpet,EDUCATION,0.0
high_school,EDUCATION,19.0
open_letter,EDUCATION,0.0
istar_war,EDUCATION,0.0
mental_health,EDUCATION,0.0
jimmi_fallon,EDUCATION,0.0
trump_say,EDUCATION,0.0
box_offic,EDUCATION,0.0
york_citi,EDUCATION,2.0
kate_middleton,EDUCATION,0.0
north_carolina,EDUCATION,0.0
sexual_harass,EDUCATION,2.0
kany_west,EDUCATION,0.0
week_photo,EDUCATION,0.0
plan_parenthood,EDUCATION,0.0
trevor_noah,EDUCATION,0.0
marco_rubio,EDUCATION,0.0
mike_penni,EDUCATION,0.0
donald_trump,CRIME,0.0
hillari_clinton,CRIME,0.0
new_york,CRIME,36.0
white_hous,CRIME,0.0
berni_sander,CRIME,0.0
suprem_court,CRIME,0.0
health_care,CRIME,0.0
climat_chang,CRIME,0.0
new_year,CRIME,9.0
look_like,CRIME,0.0
fashion_week,CRIME,0.0
studi_find,CRIME,0.0
super_bowl,CRIME,0.0
morn_email,CRIME,0.0
stephen_colbert,CRIME,0.0
north_korea,CRIME,0.0
kim_kardashian,CRIME,0.0
ted_cruz,CRIME,0.0
need_know,CRIME,0.0
fox_news,CRIME,0.0
taylor_swift,CRIME,0.0
valentin_day,CRIME,0.0
mother_day,CRIME,0.0
paul_ryan,CRIME,0.0
social_medium,CRIME,0.0
photo_poll,CRIME,0.0
sexual_assault,CRIME,23.0
joe_biden,CRIME,0.0
michell_obama,CRIME,0.0
jimmi_kimmel,CRIME,0.0
game_throne,CRIME,0.0
trump_administr,CRIME,0.0
red_carpet,CRIME,0.0
high_school,CRIME,26.0
open_letter,CRIME,0.0
istar_war,CRIME,0.0
mental_health,CRIME,0.0
jimmi_fallon,CRIME,0.0
trump_say,CRIME,0.0
box_offic,CRIME,0.0
york_citi,CRIME,11.0
kate_middleton,CRIME,0.0
north_carolina,CRIME,9.0
sexual_harass,CRIME,0.0
kany_west,CRIME,0.0
week_photo,CRIME,0.0
plan_parenthood,CRIME,9.0
trevor_noah,CRIME,0.0
marco_rubio,CRIME,0.0
mike_penni,CRIME,0.0
donald_trump,SCIENCE,0.0
hillari_clinton,SCIENCE,0.0
new_york,SCIENCE,0.0
white_hous,SCIENCE,0.0
berni_sander,SCIENCE,0.0
suprem_court,SCIENCE,0.0
health_care,SCIENCE,0.0
climat_chang,SCIENCE,22.0
new_year,SCIENCE,2.0
look_like,SCIENCE,7.0
fashion_week,SCIENCE,0.0
studi_find,SCIENCE,10.0
super_bowl,SCIENCE,0.0
morn_email,SCIENCE,0.0
stephen_colbert,SCIENCE,0.0
north_korea,SCIENCE,0.0
kim_kardashian,SCIENCE,0.0
ted_cruz,SCIENCE,0.0
need_know,SCIENCE,0.0
fox_news,SCIENCE,0.0
taylor_swift,SCIENCE,0.0
valentin_day,SCIENCE,0.0
mother_day,SCIENCE,0.0
paul_ryan,SCIENCE,0.0
social_medium,SCIENCE,0.0
photo_poll,SCIENCE,0.0
sexual_assault,SCIENCE,0.0
joe_biden,SCIENCE,0.0
michell_obama,SCIENCE,0.0
jimmi_kimmel,SCIENCE,0.0
game_throne,SCIENCE,0.0
trump_administr,SCIENCE,0.0
red_carpet,SCIENCE,0.0
high_school,SCIENCE,0.0
open_letter,SCIENCE,0.0
istar_war,SCIENCE,0.0
mental_health,SCIENCE,0.0
jimmi_fallon,SCIENCE,0.0
trump_say,SCIENCE,0.0
box_offic,SCIENCE,0.0
york_citi,SCIENCE,0.0
kate_middleton,SCIENCE,0.0
north_carolina,SCIENCE,0.0
sexual_harass,SCIENCE,0.0
kany_west,SCIENCE,0.0
week_photo,SCIENCE,0.0
plan_parenthood,SCIENCE,0.0
trevor_noah,SCIENCE,0.0
marco_rubio,SCIENCE,0.0
mike_penni,SCIENCE,0.0
donald_trump,WELLNESS,0.0
hillari_clinton,WELLNESS,0.0
new_york,WELLNESS,31.0
white_hous,WELLNESS,0.0
berni_sander,WELLNESS,0.0
suprem_court,WELLNESS,0.0
health_care,WELLNESS,94.0
climat_chang,WELLNESS,0.0
new_year,WELLNESS,136.0
look_like,WELLNESS,16.0
fashion_week,WELLNESS,0.0
studi_find,WELLNESS,274.0
super_bowl,WELLNESS,27.0
morn_email,WELLNESS,0.0
stephen_colbert,WELLNESS,0.0
north_korea,WELLNESS,0.0
kim_kardashian,WELLNESS,0.0
ted_cruz,WELLNESS,0.0
need_know,WELLNESS,32.0
fox_news,WELLNESS,0.0
taylor_swift,WELLNESS,0.0
valentin_day,WELLNESS,42.0
mother_day,WELLNESS,16.0
paul_ryan,WELLNESS,0.0
social_medium,WELLNESS,22.0
photo_poll,WELLNESS,0.0
sexual_assault,WELLNESS,0.0
joe_biden,WELLNESS,0.0
michell_obama,WELLNESS,0.0
jimmi_kimmel,WELLNESS,0.0
game_throne,WELLNESS,0.0
trump_administr,WELLNESS,0.0
red_carpet,WELLNESS,0.0
high_school,WELLNESS,0.0
open_letter,WELLNESS,0.0
istar_war,WELLNESS,0.0
mental_health,WELLNESS,69.0
jimmi_fallon,WELLNESS,0.0
trump_say,WELLNESS,0.0
box_offic,WELLNESS,0.0
york_citi,WELLNESS,15.0
kate_middleton,WELLNESS,0.0
north_carolina,WELLNESS,0.0
sexual_harass,WELLNESS,0.0
kany_west,WELLNESS,0.0
week_photo,WELLNESS,0.0
plan_parenthood,WELLNESS,0.0
trevor_noah,WELLNESS,0.0
marco_rubio,WELLNESS,0.0
mike_penni,WELLNESS,0.0
donald_trump,BUSINESS,34.0
hillari_clinton,BUSINESS,5.0
new_york,BUSINESS,38.0
white_hous,BUSINESS,0.0
berni_sander,BUSINESS,5.0
suprem_court,BUSINESS,0.0
health_care,BUSINESS,15.0
climat_chang,BUSINESS,16.0
new_year,BUSINESS,9.0
look_like,BUSINESS,6.0
fashion_week,BUSINESS,0.0
studi_find,BUSINESS,9.0
super_bowl,BUSINESS,13.0
morn_email,BUSINESS,0.0
stephen_colbert,BUSINESS,0.0
north_korea,BUSINESS,0.0
kim_kardashian,BUSINESS,0.0
ted_cruz,BUSINESS,0.0
need_know,BUSINESS,14.0
fox_news,BUSINESS,0.0
taylor_swift,BUSINESS,0.0
valentin_day,BUSINESS,0.0
mother_day,BUSINESS,0.0
paul_ryan,BUSINESS,5.0
social_medium,BUSINESS,17.0
photo_poll,BUSINESS,0.0
sexual_assault,BUSINESS,0.0
joe_biden,BUSINESS,0.0
michell_obama,BUSINESS,0.0
jimmi_kimmel,BUSINESS,0.0
game_throne,BUSINESS,0.0
trump_administr,BUSINESS,0.0
red_carpet,BUSINESS,0.0
high_school,BUSINESS,0.0
open_letter,BUSINESS,0.0
istar_war,BUSINESS,0.0
mental_health,BUSINESS,0.0
jimmi_fallon,BUSINESS,0.0
trump_say,BUSINESS,0.0
box_offic,BUSINESS,0.0
york_citi,BUSINESS,14.0
kate_middleton,BUSINESS,0.0
north_carolina,BUSINESS,6.0
sexual_harass,BUSINESS,13.0
kany_west,BUSINESS,0.0
week_photo,BUSINESS,0.0
plan_parenthood,BUSINESS,0.0
trevor_noah,BUSINESS,0.0
marco_rubio,BUSINESS,0.0
mike_penni,BUSINESS,0.0
